id;date;is_read;title;summary
1;2020-11-15;false;card;web-enabled open-source
2;2020-11-16;false;Quality payment;target Accountability magenta
3;2020-11-15;false;override New Israeli Sheqel;even-keeled infrastructures Automated
4;2020-11-15;true;withdrawal Corporate;Auto Loan Account
5;2020-11-16;false;Latvian Lats;Consultant connecting
6;2020-11-16;true;cross-platform invoice;Switchable North Dakota
7;2020-11-15;false;Credit Card Account;Intranet
8;2020-11-16;false;Swedish Krona;Iceland Krona value-added
9;2020-11-15;false;Course Corporate;Buckinghamshire Accountability Courts
10;2020-11-15;false;Clothing;Unbranded Plastic Bike
